1,2,3,4,5,6,7
JT25_RS15220,1.9425,1.798,3.542,2.83,6.855,2.856
JT25_RS15225,2.6725,1.522,2.914,2.22,7.4275,3.178
JT25_RS15230,1.2425,1.624,2.108,2.07,18.33,3.136
JT25_RS15235,2.3775,1.716,3.312,2.342,4.525,4.798
JT25_RS15240,5.1925,4.236,5.076,3.754,30.1775,6.294
JT25_RS15245,6.06,5.328,8.254,4.292,12.3125,10.01
JT25_RS15250,16.1525,18.438,14.738,10.856,15.1275,18.294
JT25_RS15255,64.29,79.848,91.758,99.708,70.8025,64.388
JT25_RS15260,32.31,36.728,43.732,34.53,72.5025,46.35
JT25_RS15265,68.7,60.072,81.492,55.314,220.85,90.506
JT25_RS15275,125.6825,130.718,124.266,100.948,200.8375,29.676
JT25_RS15285,40.8575,45.778,60.2,45.658,57.5175,42.65
JT25_RS15290,29.4225,25.156,22.348,16.634,38.01,9.17
JT25_RS15295,72.33,82.128,92.42,88.646,94.755,108.126
JT25_RS15300,37.9675,47.266,50.102,43.868,31.37,29.05
JT25_RS15305,57.4975,46.092,57.478,34.924,42.7575,27.242
JT25_RS15325,282.86,229.466,318.662,252.688,292.015,291.354
JT25_RS15330,19.4825,17.454,26.988,17.94,20.995,35.934
JT25_RS15335,10.2475,10.754,19.922,13.82,25.1125,23.116
JT25_RS15340,19.2775,22.14,31.676,20.672,20.7775,16.478
JT25_RS15345,25.905,19.238,17.294,10.692,102.3225,3.152
JT25_RS15350,93.9975,73.896,66.104,40.74,39.5075,18.734
JT25_RS15355,33.9475,41.018,44.556,38.058,43.9375,14.732
JT25_RS15360,54.36,109.556,109.812,115.11,163.3575,80.36
JT25_RS15365,20.6,18.996,21.144,16.486,19.86,13.832
JT25_RS15370,17.4175,18.634,26.262,15.018,27.2825,14.844
JT25_RS15375,31.9125,25.948,29.734,24.038,18.2025,29.826
JT25_RS15380,40.3725,36.956,27.096,26.172,19.85,17.82
JT25_RS15385,3200.5475,2981.002,2593.806,2807.096,1944.915,887.734
JT25_RS15390,309.6,210.476,186.606,173.472,100.6375,140.514
JT25_RS15395,212.3925,122.002,107.39,90.758,37.74,59.75
JT25_RS15400,84.76,55.15,52.902,35.34,50.4325,31.586
JT25_RS15405,48.845,25.09,32.004,17.836,14.9925,7.694
JT25_RS15410,81.31,48.424,44.89,27.692,36.6475,20.516
JT25_RS15415,92.3425,76.694,78.81,62.074,83.0675,129.312
JT25_RS15420,94.4575,63.528,47.384,43.424,150.9325,25.256
JT25_RS15425,51.0375,40.662,31.418,19.548,13.765,37.004
JT25_RS15430,27.84,25.366,32.828,21.284,25.635,45.45
JT25_RS15435,44.53,31.496,39.376,22.402,25.6875,24.224
JT25_RS15440,67.7775,40.208,37.126,19.852,44.385,19.932
JT25_RS15445,45.815,23.708,16.18,11.914,16.2825,5.264
JT25_RS15450,30.4175,12.964,7.258,9.06,4.705,2.094
JT25_RS15455,139.135,51.046,46.434,22.062,26.2725,8.372
JT25_RS15460,70.6475,40.812,33.462,19.53,20.52,10.398
JT25_RS15465,58.995,41.394,35.74,20.952,19.63,19.962
JT25_RS15470,190.4625,93.992,78.56,46.354,40.955,94.836
JT25_RS15475,732.1325,348.964,334.724,217.492,147.825,298.006
JT25_RS15480,653.1925,408.776,288.486,260.538,167.1875,288.936
JT25_RS15485,1159.71,554.952,499.93,450.11,364.675,397.652
JT25_RS15490,69.04,52.938,44.822,35.51,25.2,30.89
